"Nombre","Región","Significado"
"Kartini","Indonesia","Nombre histórico moderno con fuerte valor cultural."
"Lapu-Lapu","Filipinas","Héroe histórico; nombre personal tradicional."
"Sulayman","Filipinas","Forma local de Salomón."
"Rajah","Filipinas","“Rey” o “gobernante”."
"Lakandula","Filipinas","Título de nobleza; “señor”."
"Dayang","Filipinas / mundo malayo","“Dama” o “señora noble”."
"Amihan","Filipinas","“Viento del noreste”."
"Tala","Filipinas","“Estrella”."
"Diwata","Filipinas","“Espíritu” o “deidad”."
"Mayari","Filipinas","Deidad lunar en tradición tagala."
"Datu","Filipinas","“Jefe” o “cacique”."
"Bolkiah","Brunéi","Nombre dinástico real."
"Hassanal","Brunéi","“Bello” o “bonito” en tradición árabe-malaya."
"Sufri","Brunéi","Nombre tradicional local."
"Puteri","Brunéi","“Princesa”."
"Aminah","Brunéi","“Fiel” o “segura”."
"Jefri","Brunéi","Nombre de uso local, muy extendido en el sultanato."
"Pengiran","Brunéi","Título nobiliario."
"Dayang","Brunéi","“Dama”."
"Siti","Brunéi","Título honorífico femenino."
"Badrul","Brunéi","“Luna llena” o “como la luna”."
"Xanana","Timor Oriental","Nombre moderno muy asociado al país."
"Taur","Timor Oriental","Nombre local."
"Nicolau","Timor Oriental","Forma portuguesa usada en Timor."
"Mari","Timor Oriental","Nombre femenino muy usado."
"Alarico","Timor Oriental","Forma adoptada en el contexto local moderno."
"Domingos","Timor Oriental","Nombre tradicional por herencia luso-timorense."
"Francisco","Timor Oriental","Muy extendido en la región."
"Lita","Timor Oriental","Nombre femenino breve y común."
"Rosa","Timor Oriental","Nombre de uso frecuente."
"Esperança","Timor Oriental","“Esperanza”."
